
Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
8300000 5856 11926 18043 16404 16134 14398 14421 10498 5221 35565 35417 41919 6320 10272 8664 8606 11345 5013 1122 0 2597 0 35468469 5734 6232 
8400000 6066 11926 18338 16042 16066 14113 15023 10664 5722 35896 35530 42534 6637 10344 8180 8487 11167 4865 1147 0 2580 0 32840151 5900 6263 
8500000 5209 11579 18432 16795 16099 13762 14621 10768 5460 35311 35257 42157 6653 10585 8480 8580 10773 5149 1106 0 2606 0 36301710 5759 6294 
8600000 5959 12519 18629 16522 16150 14125 14468 9980 5008 35538 35615 42207 7045 10013 8637 8268 10219 5498 1068 0 2610 0 33427635 5864 6278 
8700000 5686 12192 18164 16103 15658 13751 14489 10444 5211 34684 35156 41858 6922 10423 9298 7970 9919 5688 1114 0 2618 0 34559357 5894 6469 
8800000 5804 11967 17913 15863 15721 14183 14610 10702 5084 34371 35086 42390 6827 10333 8912 7853 10156 5599 1044 0 2624 0 36945409 6085 6491 
8900000 5490 11941 17840 16494 16215 14281 14021 10275 4949 34452 35048 42006 7507 10111 8542 7910 10786 5364 1067 0 2669 0 38712810 5926 6590 
9000000 5760 12037 18237 16909 16245 14105 13811 10377 5201 35150 35300 42232 7245 10557 8594 7628 10548 5108 1125 0 2584 0 33195200 6005 6395 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
9100000 5753 12008 18076 16277 15902 13494 13910 10169 5486 34325 34721 42029 7586 10157 8429 7561 10970 5517 1081 0 2634 0 37953728 5914 6427 
9200000 5709 12000 18570 16939 16167 14023 13761 10343 4768 35024 34896 42360 7662 10185 8028 7580 10619 5606 1052 0 2620 0 36330623 5957 6452 
9300000 5366 11611 17626 16342 15534 14180 14227 10943 5100 34358 34608 41963 7421 10337 8595 7606 10867 5394 1084 0 2650 0 36942912 6044 6591 
9400000 5552 12043 18116 16573 15517 14071 14160 10898 5036 34569 35169 42228 7331 10391 8319 7356 10837 5446 1058 0 2615 0 36712183 6170 6571 
9500000 5703 12136 18171 16586 15694 13426 13454 10231 5300 34237 34906 41558 7412 10144 8462 7716 10841 5645 1031 0 2655 0 38720980 6092 6768 
9600000 5726 12070 18142 16554 16035 13937 14104 9999 5127 34578 34928 42188 7279 10248 8065 7649 10780 5659 1089 0 2592 0 32830277 6112 6643 
9700000 5791 12231 18013 15883 15414 13623 14319 10315 5061 34221 34805 41624 7424 10256 8270 7683 11064 5523 1082 1 2633 0 35819058 6120 6732 
9800000 5724 11950 17587 15745 15742 14162 14669 10401 5024 34194 34866 41944 7281 10247 8619 7527 10518 5488 1078 0 2610 0 34519350 6280 6731 
9900000 5488 11565 17454 15535 15585 14063 14687 10434 5106 33691 34363 41863 7345 10643 7985 7496 11259 5492 1004 0 2691 0 40078303 6098 6734 
10000000 5447 12157 17948 16569 15487 13503 13951 10372 5305 34176 34552 42011 7001 10420 8350 7297 11038 5574 1042 0 2631 0 40134412 6342 6756 
